條文號碼,卦,條文
1264,隨,大運交子忽主凶 泥樑燕子渺無蹤 莫謂先天無定數 此運必定剋妻宮
1265,大過,五數同人定吉祥 姐妹五人不同娘 次第排來你是四 必有後皮在內藏
1266,困,桃李花開映日新 良緣自古本天成 若部妻宮配何姓 配就佳人必姓秦
1267,咸,精細聰明自不同 做來靈巧比人工 子時生就幫夫命 勤儉溫良家道興
1268,萃,二刻生來豪富人 多金仗義有前程 不必讀書求進步 好從財帛弄崢嶸
1271,夬,一樹花開滿院紅 手足宮中五弟兄 排來次第你居長 肉有代破免刑沖
1272,兌,日坐子宮一世榮 祖業田產定興隆 生成富貴安然樂 暮景悠悠福壽人
1273,革,三十七八不順通 災殃口舌事重重 雨中花朵風前燭 揚帆偏不遇順風
1274,隨,交到甲運事多乖 破財口舌不稱懷 此運注定必剋子 房中啾即有悲衰
1275,大過,數中祿命受刑沖 華榮有亦變虛空 拋開祖業不能守 去向貴人作逢迎
1276,困,鷥鳳和鴻交頸眠 花開春月喜新然 六爻交艮成佳偶 佳人曹氏自天然
1277,咸,女命女時不平常 配夫定是紫衣郎 珠光寶氣人欽驚 安享榮華一世光
1278,萃,先天定數不為農 也非僧道也非工 終日安閒無一事 好依妻子度平生
1281,夬,金菊花開滿院香 紛飛鴻雁列成行 兄弟十人居長位 中有代破在技旁
1282,兌,生成有祿是麟兒 造化注定無改移 數演一歲交大運 恰如夏木囀黃鸝
1283,革,六十一二流年凶 破財煩惱運難通 勸君須要安天命 原定造化在數中
1284,隨,北方子運悶沈沈 不幸兒郎去幽冪 人世總多煩惱事 放開不必淚沾巾
1285,大過,二刻生人壽千天 千里姻緣似綿牽 月老注定鴛鴦對 使男使女兩團圓
1286,困,五音配定張氏女 先天注就壽長春 赤繩繫足姻緣定 並蒂蓮開色自新
1287,咸,生逢子時獨占強 造化注定祿命長 出入王家稱貴客 金枝玉葉配成雙
1288,萃,數演格局定性情 為人和順早聰明 賢孝和睦人欽敬 老來注定有聲名
1311,大有,數中多定同人推 天倫堂上兩無虧 父母齊眉同屬鼠 白頭到老福悠悠
1312,睽,安身立命定吉凶 爻象逢姤犯刑沖 父鼠母馬遭剋害 雙雙魂魄上虛空
1313,離,運交甲子吉和凶 甲運五年稱心情 一到子運災殃重 破財晦氣暗中生
1314,噬嗑,喜逢正月初一日 生君三陽開泰期 時逢勝境景煙和 百般喜氣流年多
1315,鼎,手足宮中人難定 雁陣連空無問訊 昆玉二人雙去了 君家有苦須當認
1316,未濟,千里姻緣似綿牽 兩姓聯婚非偶然 配合蔡氏不刑剋 鷥鳳和鳴到百年
1317,旅,乾卦遭遊入命宮 百般勝境流年空 提防二十三歲上 父母妻子眼淚紅
1318,晉,八數遇坤作元辰 重逢椒洒過新春 閏逢正月初一日 江梅堤柳接新年
1321,大有,雲影天光兩度秋 父命屬鼠母屬牛 椿萱並茂子孫樂 雙雙堂上伴白頭
1322,睽,命值此數最難富 二親排定俱主傷 鼠父已作泉下客 萱堂屬羊不久長
1323,離,丙子運臨有吉凶 上五年中百事通 下五子運多瑣碎 花正紅時遇狂風
1324,噬嗑,淑氣臨門非等閒 人逢快意情自閒 生逢正月初二日 堂上雙親開笑顏
1325,鼎,棣萼花開看幾行 兄弟八人整四雙 雖然同根是一脈 內有一位夢黃梁
1326,未濟,六爻逢吉合婚書 妻定蘭房必姓茹 夫性同亨有佳遇 姻緣偕老自無虛
1327,旅,卦運七數尋難逃 命在中年必主殀 大限三十零五歲 四月十一命逍遙
1328,晉,人生數定是前緣 雙逢佳節過新年 閏正月生初二日 靈胎降世保安全
1331,大有,先天理數定分明 爻變逢乾福轉清 父命鼠兮母屬虎 椿萱並茂日增榮
1332,睽,剋父剋母數中定 不由人事但由命 鼠父猴母俱下世 上堂無須煩使應
1333,離,運交戊子分陽陰 戌運五年百事強 子運之中財耗散 事不遂心非吉祥
1334,噬嗑,計轉後卦命正強 宇宙同春壽無疆 生辰正月初三日 父母堂上喜一雙
1335,鼎,鴻雁紛飛過長江 兄弟七人不高強 同林忽被風吹散 內有六人把命亡
1336,未濟,蘭房錦帳配鴛鴦 兩姓絲羅結一雙 佳人配就夏氏女 自向青春耐久長
1337,旅,命中壽限遇刑沖 許君四十七正終 正月初五身染病 二月初七命歸陰
1338,晉,欲知君身何日生 新年佳節又重臨 閏正月生初三日 風盪池塘柳眼明
1341,大有,數中透露神仙機 雙親庚相預前知 父命屬鼠高堂在 慈母屬兔福壽宜
1342,睽,數定二親早分離 父相屬鼠母屬雞 雙親魂魄歸陰府 月沈東海日落西
1343,離,大運庚子吉中凶 上五年中主亨通 下五子運多不利 破財疾病兩加攻
1344,噬嗑,斗柄回陽景物新 正月初四降君生 坐褥慈母微含笑 喜得家門產麒麟
1345,鼎,鴻雁紛飛過南樓 兄弟七人各一途 同林鳥忽紛飛散 內有五人到荒邱
1346,未濟,前生姻緣注得清 並蒂蓮花映日紅 莫謂先天無成數 蘭房姓代是妻宮
1347,旅,命入天宮真不久 限定七數五十九 冬月初八身染病 二十子時命難有
1348,晉,梅綻花開色正融 初度欣逢葉熊熊 時當閏正初四日 門外有慶懸弧弓
1351,大有,悠悠仙景青青松 父相屬鼠母屬龍 演定一數主福壽 三歲日月祝華對
1352,睽,戌相母親命有磨 鼠父又離奈若何 二親相會陰間府 正歡人世坎坷多
1353,離,運交壬子有低昂 士運初度白事昌 交五子運交不利 恰如花開遇嚴霜
1354,噬嗑,東風吹綻百花香 脫出母腹見辰光 生辰正月初五日 堂前花發滿庭芳
1355,鼎,棠棣花開有枯榮 兄弟七人壽不同 內有四人歸陰去 還有三人慶長生
1356,未濟,爻數逢坎姻緣良 結髮原是董姑娘 夫妻配合前生定 正看鴻案喜相莊
1357,旅,欲問命限到何時 壽生七十一歸期 六月廿四身染恙 二八寅時事不知
1358,晉,東風解凍魚上冰 重慶元旦和風凝 閏逢五月初五日 丹桂庭前兆瑞徵
1361,大有,樂天知命度平生 數定再無爻外分 父命屬鼠母蛇相 福壽康寧一世榮
1362,睽,二爻觀卦是虛星 命宮煞重犯剋成 母相屬豬父屬鼠 雙親一去杳仙蹤
1363,離,三數遇合定得清 為人一世多聰明 公平做事心良善 不好求人落下風
1364,噬嗑,此命生時子時強 貴人之命多吉祥 小人與君常暗害 恩將仇報早提防
1365,鼎,鴻雁聯飛各向先 四人兄弟總無緣 罡風一陣來吹散 內有二人上去天
1366,未濟,蘭房緣會真相合 配就佳人必姓易 禽世姻緣百世修 梅花清福應無錯
1367,旅,福如東海壽如松 八十三齡注命終 七月初四得大病 初七卯時限此逢
1368,晉,受讀求名兩不通 不如貿易逞才能 得浞貨殖遂心原 市上人欽君子風
1371,大有,命逢天喜星最良 添人進口大吉昌 男命逢之多順利 女命見此主兒郎
1372,睽,命桂定君二刻生 父母宮中受刑沖 雙雙一別歸泉下 君身無依苦零丁
1373,離,心直口快好逞強 作事果敢有主張 只求與人行方便 五湖四海把名揚
1374,噬嗑,子時生喜貴人逢 一生化吉不逢凶 四方去結賢良友 膽大心高氣概雄
1375,鼎,命宮喜逢生子年 衣祿相繼湧如泉 一世享得生成祿 晚來清福更安然
1376,未濟,吟成柳絮因風起 配就佳人謝氏妻 白首同偕雙蝶影 翩韆朝夕舞牆西
1377,旅,妻妾宮中犯刑傷 可憐一位到黃梁 勸君莫作鼓盆軟 再配鼠庚必安康
1378,晉,難得驛馬入命宮 主人奔走遍西東 果然生意多如意 似水財源慷慨風
1381,大有,劫煞流轉入命宮 破財口舌有災凶 事情不遂常顛倒 看是平地反成坑
1382,睽,生逢子日衣祿強 早年發福後不祥 有的田園遭耗散 只為休羅命內藏
1383,離,五行定得格局清 一生不原與人同 半句不換就煩惱 就是爹娘也不聽
1384,噬嗑,生逢子時志昂藏 數內暗逢骨肉傷 注定早年無助力 中年以後反無妨
1385,鼎,二刻生逢命不強 田產祖業難久長 離鄉別井方能起 晚年他處立田壯
1386,未濟,妻命宮中注得清 賢配郎氏不相刑 姻緣本是前生定 結偶都因造化成
1387,旅,剋妻剋妻又剋妻 三房佳人主分離 瑤憐弦斷又接續 再要鼠相正相宜
1388,晉,數中定命享逍遙 萬人頭上作英豪 嘴上帶的假胡子 手裡拿的木頭刀
1411,大壯,一數多來定吉凶 二親宮中福壽全 天倫同有福星照 只因父鼠母馬年
1412,歸妹,一枝濃艷露凝香 丹桂枝頭指到牆 長子注定屬鼠相 上下無依獨自強
1413,豐,時逢二刻命剛強 雙親宮內犯刑傷 父親被你剋去了 單獨孝敬老萱堂
1414,震,時屈清明景物新 花開桃李又殘春 誕生三月初三日 滿堂美滿慶佳辰
1415,恒,一千四百定乾乾 父母宮中演得真 父親原來是屬鼠 慈母屬馬幻同春
1416,解,運交甲子笑呤呤 凡百謀為稱心情 十年坦道多喜慶 求利求名都可成
1417,小過,甲子鼠相海中金 七十七歲大限臨 八月十五悟大道 十八辰時渺仙原
1418,豫,天氣清淑喜滿堂 海棠間伴牡丹香 閏逢三月初一日 花開子落出芬芳
1421,大壯,數逢二爻主吉祥 父命屬鼠母屬羊 二親俱享遐齡壽 方比松柏耐久長
1422,歸妹,樂天知命度平生 妻財子祿兩安寧 長子屬鼠招一弟 雙鳳聯榮耀門庭
1423,豐,鴻雁征雲日又斜 弟兄二人宿梅花 生逢二刻父先逝 慈母空帷獨自嗟
1424,震,水綠沙明園景新 上林錦繡百花榮 生逢三月初二日 堂上笑煞白頭人
1425,恒,姻緣簿上訂分明 交頸相偕羡煞人 若問佳人賈氏女 雙雙秋夜看天孫
1426,解,運行丙子正如春 康泰平夷漸漸隆 出入貴人堂上集 百般順遂有雲程
1427,小過,丙子鼠相水命人 大限七十有五齡 九月十二身染病 十九丑時命歸陰
1428,豫,三春時節百花香 淑氣清和午夢長 閏逢三月初二日 悠悠堂上報風光
1431,大壯,命數爻逢蠱卦求 父命屬鼠母屬猴 椿萱堂上數先定 雙雙有壽到白頭
1432,歸妹,命宮子息喜榮昌 數定三子甚高強 長子若是屬鼠相 必有一子作棟樑
1433,豐,生逢二刻定得真 常棣含輝花自榮 兄弟三人先去父 獨奉萱堂老母親
1434,震,和風清景三月天 菊花枝葉綠正鮮 生君定是初三日 祥光照戶更窗前
1435,恒,姻緣簿上注前生 千山萬水繫赤繩 先天配合裴氏女 無災無害說恩情
1436,解,運交戊子百事成 君命自此福祿盈 一門兩露從天降 迪吉家門瑞氯生
1437,小過,戊子火命運不通 太平老人已至公 八十三歲塵緣滿 五月十三祿命終
1438,豫,楊花入水化為萍 時屈清和播雅聲 閏月初生第三日 降君注定是奇英
1441,大壯,父母宮中數定良 嚴父屬鼠坐高堂 慈母屬雞亦安樂 二親俱主壽祿長
1442,歸妹,二數家人定子宮 丹桂植立正森森 四子耀鐓有榮耀 長子定是鼠年生
1443,豐,二刻時生定雁行 飛鳴陣陣過南塘 弟兄四人先去父 各待門戶整家堂
1444,震,春晚花開景色新 薔藢枝葉正紛紛 生辰三月初四日 降來天上玉麒麟
1445,恒,紅葉題詩非虛話 配就佳人本姓臘 原來一定要如此 天盤地盤絕不假
1446,解,運交庚子有榮華 財源到手正堪誇 龍遊海國風光滿 虎入深山舞瓜牙
1447,小過,庚子生逢土命人 七十四歲別凡塵 九月二十沾時疾 二十三日了茲身
1448,豫,春水一篙近處山 牡丹花好到江南 生君三月是初四 家門喜得一奇男
1451,大壯,數定二親壽不憂 又添海屋許多壽 父命屬鼠母屬狗 雙雙偕老百年秋
1452,歸妹,天定子宮不強求 花蓉輝光五鳳樓 辰子鼠相是前定 持家立業有良謀
1453,豐,生逢二刻家道道 昌兄弟五人不成 雙二親宮中先去 父鏵開棠接芬芳
1454,震,春風習習過園林 滿地飛花錦作茵 生辰三月初五日 崢嶸頭角是麒麟
1455,恒,一千四百五數逢 二親宮中俱安寧 嚴父鼠相無差錯 慈母定是戌年生
1456,解,運交壬子大亨通 財勢同來兩自雄 一門兩露從天降 家道湔途暢意行
1457,小過,壬子桑枯木命真 壽稱七十有八春 正月初七得大病 十一本時命歸陰
1458,豫,清明已過又重逢 十里桃殀面面紅 閏逢三月初五日 堂上喜煞老對翁
1461,大壯,一數同人論二親 父命屬鼠定是真 母命屬豬同偕老 百年榮泰百年春
1462,歸妹,子息宮中數定真 一生造化豈由人 長子屬鼠多榮貴 丹桂枝開六子成
1463,豐,二刻生人難得全 紫荊樹下各翩遷 兄弟六人先去父 各立門庭紹述賢
1464,震,子時生人主早榮 兄弟行中衣祿豐 同食天祿光榮事 臨門五福總相同
1465,恒,樂天知命定平生 五多大有見分明 父屬鼠庚無差錯 母親必是亥年生
1466,解,子時生人定命良 高才班馬擅文章 先向明倫司教化 後去民模作正堂
1467,小過,命演七數是絕鄉 拋去凡胎見閻王 森羅實嚴前領旨 再轉陽世振榮光
1468,豫,數中注定二刻奇 百般惡症善調治 煉就華陀金丹妙 時來運轉作名醫
1471,大壯,莫道子嗣難上難 看君命內有芝蘭 要來外地娶一室 招得英兒樂般桓
1472,歸妹,花開春杏滿枝頭 七果生成有破憂 長子立定屬鼠相 城鳥起叫五更秋
1473,豐,鴻雁紛紛思故鄉 兄弟七人後皮傷 雙親位上父先去 留得蘭梅各自芳
1474,震,姻緣前定非偶然 必宜小配晚方全 殘花檢拾猶鮮色 庚相屬鼠偕百年
1475,恒,生逢子月家道慇 凌宵有志正崢崢 父母宮中能得力 田產財源有現成
1476,解,六爻定命主榮昌 龍潛滄海待時楊 生逢子時多榮貴 注定先作拔貢郎
1477,小過,七數相逢定命元 看經念佛你居先 吃齋好善去施食 注定數中享清閒
1478,豫,二刻生人醫術精 活人濟世度金針 挖腸破肚無餘刃 膽大藝高時有名
1481,大壯,翼星入命費商量 伶仃孤苦望高堂 少年若不為僧道 命中該有兩層娘
1482,歸妹,人生有子萬事足 更羡君家多嗣續 長子注定屬鼠相 招有七弟作良友
1483,豐,三刻生人造化分 手足宮中祿不均 兄弟八人先剋父 中有代破各立門
1484,震,妻宮屬鼠是前緣 注定刑傷犯子星 雙方沖破埋兒煞 落梅顏色正青青
1485,恒,生逢二刻注定離 家衣祿宮中處處 加堂上兩親俱靠 門庭別立在天涯
1486,解,時辰查定二刻生 男人卻比女人能 大裁小剪量身樣 不分綢緞興羅綾
1487,小過,身命二宮犯怪星 彎腰鍋背作奇形 若無此破主殀壽 衣祿老來日有盈
1488,豫,安身立命作先生 眼科丹水煉得精 甘露滴到入眉睫 居然一撥見光明
1511,小畜,一千五百數中分 行出提綱順逆行 命限初交一歲運 斬然頭角顯崢嶸
1512,中孚,嚴父當年正十三 天然生你到人間 一枝嫩苗先結子 數中注命非等閒
1513,家人,姻緣前定非偶然 折散鷥鳳不周全 再配佳人郝氏女 雙雙有壽享遐年
1514,益,生逢初夏景煙和 茂樹千童映碧維 生辰五月初一日 眉清目秀福良多
1515,巽,姻緣簿上數不空 雙雙胡喋舞春風 配就南氏偕到老 榮華富貴自豐隆
1516,渙,運逢甲子怎安寧 破財口舌有多層 船到逆風當靠岸 月遮雲內見光明
1517,漸,甲日甲子時最難 青雲有路任君攀 天留祿馬玉堂貴 衰衣正笏列朝班
1518,觀,黃梅時節雨中時 扇子搖風憩小池 閏五初一君降世 生成天祿更無疑
1521,小畜,時定二刻姻緣牢 配合正主享逍遙 妻宮庚相是屬鼠 彩橋堂前種鳳毛
1522,中孚,八字安排祿位成 細細推來卦數清 父年方交二十五 丹桂一枝先發榮
1523,家人,洞房花燭又重明 續絲丹配不由人 人生注就蘭房樂 定與陶氏結成親
1524,益,榴花開放滿園紅 池中荷葉長初濃 生辰五月初二日 玉燕呈祥盡閣中
1525,巽,洞房匹配定前生 夫婦偕老訴恩情 蘭房合好百年樂 喜支佳人姓是彭
1526,渙,運行丙子主閒災 蔽日鳥雲總不開 船行泮水難安穩 大耗若逢又破財
1527,漸,乙日內子時最良 招來五福顯榮光 厚名廣譽聲革著 丹桂高攀上玉堂
1528,觀,荷花出水映日紅 滿園紅杏出牆東 閏逢五月初二日 父母喜得誕麟童
1531,小畜,姻緣前定非偶然 妻相屬鼠數由天 蘭房得配賢良女 時逢三刻一世全
1532,中孚,二爻數定不須疑 丹桂花開第一枝 父年方交三十七 生君堂前喜弄姿
1533,家人,推君恩愛必有傷 前配妻宮兩分張 丹娶數注史姓女 蘭房重作一新郎
1534,益,赤帝當權在天中 抬頭炎日正雄雄 生辰五月初三日 父親門外喜懸弓
1535,巽,姓於賢女結成姻 律呂推來定得真 夫妻相愛如魚水 洞房喜結百年春
1536,渙,運行戊子主災殃 出門時復有驚慌 人到晦時多煩惱 財丁大畜之安康
1537,漸,丙日時逢戊子宮 月中折桂受君封 來時走到青雲路 姓氏標揚進士公
1538,觀,薰風習習暑炎天 黃鶯枝上柳陰眠 閏五初三靈胎降 父母堂前恣愛憐
1541,小畜,四刻屬鼠是妻房 鴻運前程福祿昌 花階戲舞雙蝴蝶 池中遊水兩鴛鴦
1542,中孚,數中能洩造化機 注定卦爻無差疑 父年四十中九歲 生君果然骨相奇
1543,家人,三爻值命主剋妻 前配佳人定分離 瑤琴弦斷還相續 再配吳氏必無疑
1544,益,月令交午青轉黃 紛紛禾黍有清香 生辰五月初四日 華堂玉燭照呈祥
1545,巽,前世因緣今世成 配合妻子必姓熊 數中注定無差錯 夫婦情意兩和同
1546,渙,運行庚子多愛疑 財源官運兩相蓮 日落西山難照耀 月沈東海少光輝
1547,漸,丁日時逢庚子生 文星顯著五行清 蟾宮折桂人爭羡 衣錦榮身上帝京
1548,觀,葵花結子對炎陽 紫甚滿時葉葉黃 定君生逢閏五月 初四天喜臨畫堂
